"Volume"	"Words"	"Hits"	"NumberOfTexts"	"NumberOfTextsWith Hits"	"DispersionString"	"FrequencyPM"
97	395911	"410  "	"8"	"8 "	"8 out of 8 "	"1035.59 "
98	428703	"339  "	"12"	"21 "	"12 out of 21 "	"790.76 "
99	263872	"146  "	"22"	"40 "	"22 out of 40 "	"553.3 "
100	478428	"302  "	"11"	"11 "	"11 out of 11 "	"631.23 "
101	582149	"486  "	"25"	"39 "	"25 out of 39 "	"834.84 "
102	390130	"76  "	"9"	"15 "	"9 out of 15 "	"194.81 "
103	456611	"112  "	"17"	"32 "	"17 out of 32 "	"245.29 "
104	501781	"265  "	"31"	"45 "	"31 out of 45 "	"528.12 "
105	505824	"460  "	"29"	"44 "	"29 out of 44 "	"909.41 "
106	677644	"616  "	"18"	"28 "	"18 out of 28 "	"909.03 "
107	504624	"393  "	"8"	"8 "	"8 out of 8 "	"778.8 "
108	608051	"322  "	"10"	"10 "	"10 out of 10 "	"529.56 "
109	577095	"525  "	"7"	"7 "	"7 out of 7 "	"909.73 "
110	586582	"238  "	"11"	"12 "	"11 out of 12 "	"405.74 "
111	803307	"522  "	"5"	"5 "	"5 out of 5 "	"649.81 "
112	357311	"336  "	"12"	"17 "	"12 out of 17 "	"940.36 "
113	602406	"314  "	"32"	"32 "	"32 out of 32 "	"521.24 "
114	532043	"177  "	"31"	"51 "	"31 out of 51 "	"332.68 "
115	610444	"550  "	"22"	"30 "	"22 out of 30 "	"900.98 "
116	524762	"149  "	"8"	"16 "	"8 out of 16 "	"283.94 "
117	609624	"284  "	"4"	"4 "	"4 out of 4 "	"465.86 "
118	495777	"166  "	"4"	"9 "	"4 out of 9 "	"334.83 "
119	483090	"218  "	"16"	"23 "	"16 out of 23 "	"451.26 "
120	802422	"280  "	"10"	"12 "	"10 out of 12 "	"348.94 "
121	411037	"454  "	"28"	"56 "	"28 out of 56 "	"1104.52 "
122	511796	"323  "	"11"	"14 "	"11 out of 14 "	"631.11 "
123	177763	"109  "	"6"	"13 "	"6 out of 13 "	"613.18 "
124	184260	"122  "	"9"	"17 "	"9 out of 17 "	"662.11 "
125	593358	"1116  "	"23"	"35 "	"23 out of 35 "	"1880.82 "
126	474889	"220  "	"7"	"17 "	"7 out of 17 "	"463.27 "
127	30586	"7  "	"4"	"14 "	"4 out of 14 "	"228.86 "
128	12471	"8  "	"1"	"2 "	"1 out of 2 "	"641.49 "
129	588671	"318  "	"23"	"39 "	"23 out of 39 "	"540.2 "
130	536063	"203  "	"2"	"4 "	"2 out of 4 "	"378.69 "
131	574698	"195  "	"11"	"26 "	"11 out of 26 "	"339.31 "
132	391369	"159  "	"23"	"52 "	"23 out of 52 "	"406.27 "
133	435244	"214  "	"18"	"31 "	"18 out of 31 "	"491.68 "
134	432126	"156  "	"9"	"18 "	"9 out of 18 "	"361.01 "
135	396032	"178  "	"13"	"19 "	"13 out of 19 "	"449.46 "
136	377682	"266  "	"24"	"35 "	"24 out of 35 "	"704.3 "
137	428084	"187  "	"34"	"70 "	"34 out of 70 "	"436.83 "
138	519707	"210  "	"52"	"165 "	"52 out of 165 "	"404.07 "
139	583133	"223  "	"39"	"75 "	"39 out of 75 "	"382.42 "
