"id"	"auteur"	"titre"	"tokens"
"097_AuInCaM_CapSpu"	"Auctor incertus (Carolus Magnus?)"	"Capitularia spuria"	123
"097_AuInCaM_TeEtDi"	"Auctor incertus (Carolus Magnus?)"	"Testamentum et diplomata"	3279
"097_BenDia_ColCap"	"Benedictus diaconus"	"Collectio capitularium"	118772
"097_CaMaLoI_Capitu4"	"Carolus Magnus; Lotharius I Germaniae; Ludovicus I Franciae"	"Capitularia"	69079
"097_CarMag_Capitu2"	"Carolus Magnus"	"Capitularia"	79118
"097_CarMag_Privil5"	"Carolus Magnus"	"Privilegia"	63214
"097_Eginha_ViCaMa"	"Eginhardus"	"Vita Caroli Magni"	16088
"097_LuIFrLo_Capitu3"	"Ludovicus I Franciae; Lotharius I Germaniae"	"Capitularia"	34061
"098_AdrI_Episto160"	"Adrianus I"	"Epistola"	25828
"098_AucInc_AnnVet"	"Auctor incertus"	"Annales veteres"	1356
"098_AucInc_Carmen4"	"Auctor incertus"	"Carmen"	4006
"098_AucInc_Epitap9"	"Auctor incertus"	"Epitaphium"	97
"098_AucInc_GeCaMa"	"Auctor incertus"	"Genealogia Caroli Magni"	363
"098_AucInc_InsCod2"	"Auctor incertus"	"Inscriptio codicis"	180
"098_AucInc_Liturg2"	"Auctores incerti"	"Liturgica"	5372
"098_AucInc_Versus3"	"Auctor incertus"	"Versus"	1452
"098_AucVar_ApAdEp3"	"Auctores varii"	"Appendix ad epistolas"	251
"098_AucVar_EpPoRo"	"Auctores varii"	"Epistolae pontificum Romanorum"	133545
"098_AucVar_TesVet4"	"Auctores varii"	"Testimonia veterum"	2072
"098_AuInCaM_SeDeFuB"	"Auctor incertus (Carolus Magnus?)"	"Sermo de fundatione basilicae"	1157
"098_CarMag_Carmin13"	"Carolus Magnus"	"Carmina"	1686
"098_CarMag_DeIma"	"Carolus Magnus"	"De imaginibus"	11671
"098_CarMag_DiDeIt"	"Carolus Magnus"	"Diplomata de Italia"	1487
"098_CarMag_Episto159"	"Carolus Magnus"	"Epistolae"	16748
"098_ConPar_Acta4"	"Conventus Parisiensis"	"Acta"	34033
"098_LeoIii_Episto157"	"Leo III"	"Epistolae"	8071
"098_LudPiu_Privil6"	"Ludovicus Pius"	"Privilegium"	1302
"098_MoSGa_DeGeBCa"	"Monachus S. Galli"	"De gestis B. Caroli Magni"	21271
"098_RudI_Episto158"	"Rudolfus I"	"Epistolae"	37253
"099_AltMon_AcSLu"	"Altfridus Monasteriensis"	"Acta S. Ludgeri"	11748
"099_AmFoTr_EpDeCaB"	"Amalarius Fortunatus Trevirensis"	"Epistola de caeremoniis baptismi"	6731
"099_AngCen_Carmin15"	"Angilbertus Centulensis"	"Carmina"	1087
"099_AngCen_DeReMoC"	"Angilbertus Centulensis"	"De restauratione monasterii Centulensis"	3071
"099_AngCen_Statut2"	"Angilbertus Centulensis"	"Statuta"	557
"099_AscTus_Episto162"	"Ascaricus; Tusaredus"	"Epistolae"	3462
"099_AucInc_ExExLiR"	"Auctor incertus"	"Excerptum ex litaniis rhythmicis"	182
"099_AucInc_PoThCuA"	"Auctor incertus"	"Poenitentiale Theodori cum aliis capitulis collatum"	2353
"099_AucInc_PoThCuT"	"Auctor incertus"	"Poenitentiale Theodori cum testimoniis collatum"	460
"099_AucVar_AppI5"	"Auctores varii"	"Appendix I"	2899
"099_AucVar_AppIi4"	"Auctores varii"	"Appendix II"	2694
"099_AucVar_CanSel"	"Auctores varii"	"Canones selecti"	29722
"099_AucVar_ChaWer"	"Auctores varii"	"Chartularium Werthinense"	15132
"099_AucVar_FrExCoC"	"Auctores varii"	"Fragmenta ex collectoribus canonum"	5945
"099_AucVar_FrExCoM"	"Auctores varii"	"Fragmenta ex codicibus manuscriptis"	378
"099_AucVar_TesVet5"	"Auctores varii"	"Testimonia veterum"	1219
"099_CoFoPaA_Acta5"	"Concilium Forojuliense; Paulinus Aquileiensis"	"Acta"	9171
"099_DagSan_Octode"	"Dagulfus Sandionysianus"	"Octodecastichon"	143
