No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Dice coefficient value
1	scribo1	20693	75.05	692	214	0.042
2	lego2	9617	34.879	422	175	0.038
3	secundus	7209	26.146	361	159	0.036
4	primus	14793	53.652	435	177	0.032
5	item	9686	35.13	341	57	0.031
6	de	136672	495.689	2086	342	0.028
7	idem2	43462	157.63	766	165	0.027
8	tertius	7799	28.286	266	116	0.026
9	capitulum	3551	12.879	212	58	0.026
10	quinque	3634	13.18	201	76	0.025
11	in	463796	1682.119	5543	485	0.023
12	rex	31400	113.883	492	122	0.023
13	historia	2949	10.696	170	82	0.022
14	quartus	4056	14.711	182	86	0.022
15	numerus	8610	31.227	223	71	0.021
16	beatus	22102	80.161	360	120	0.021
17	caput	17026	61.751	308	92	0.021
18	incipio	3936	14.275	169	76	0.021
19	quattuor	5642	20.463	179	71	0.02
20	moralis	382	1.386	123	40	0.019
21	genesis	802	2.909	124	76	0.019
22	decimus	1884	6.833	130	39	0.018
23	-	356744	1293.858	3292	399	0.018
24	1	3478	12.614	130	53	0.016
25	ecclesiasticus1	5501	19.951	143	77	0.016
26	euangelium	10708	38.836	174	77	0.015
27	quintus	2584	9.372	113	52	0.015
28	diuinus1	20429	74.093	244	122	0.015
29	trinitas	4195	15.215	116	38	0.014
30	ex	66613	241.596	544	184	0.014
31	septimus1	2325	8.432	96	50	0.013
32	lex	23038	83.555	226	98	0.013
33	sapientia	8726	31.648	131	78	0.012
34	iudex	5361	19.444	110	51	0.012
35	liber1	12354	44.806	162	39	0.012
36	aperio	4103	14.881	101	46	0.012
37	contineo	4468	16.205	102	70	0.012
38	unus	37779	137.019	308	74	0.012
39	ambrosius	976	3.54	78	32	0.012
40	sanctus1	70547	255.864	486	141	0.012
41	predestinatio	2248	8.153	84	26	0.012
42	:	232010	841.466	1404	243	0.012
43	finis	10813	39.217	131	69	0.011
44	deleo	1477	5.357	76	47	0.011
45	contra2	15581	56.51	154	54	0.011
46	propheta	14538	52.727	145	69	0.011
47	sicut	41928	152.067	281	119	0.01
48	prefatio	628	2.278	66	39	0.01
49	duo	16653	60.398	145	78	0.01
50	exodium	598	2.169	65	39	0.01
51	ciuitas	12845	46.587	124	50	0.01
52	uita	30381	110.187	210	131	0.01
53	uicesimus	821	2.978	63	23	0.01
54	dialogus	153	0.555	60	38	0.01
55	narro	3019	10.95	73	34	0.01
56	prefatus1	3657	13.263	75	34	0.009
57	inter	18369	66.622	145	70	0.009
58	testamentum	4862	17.634	80	44	0.009
59	uolumen	1144	4.149	64	36	0.009
60	.	894868	3245.554	4209	449	0.009
61	uetus	4403	15.969	78	49	0.009
62	lectio	2600	9.43	68	36	0.009
63	conscribo	1267	4.595	62	48	0.009
64	lego1	1284	4.657	59	43	0.009
65	tres	11031	40.008	102	61	0.009
66	seruus2	9225	33.458	92	60	0.009
67	sententia	8224	29.827	87	49	0.009
68	hic3	167450	607.316	764	237	0.009
69	quoque	16521	59.919	122	70	0.009
70	prior	4247	15.403	70	27	0.008
71	ita	28529	103.471	170	87	0.008
72	questio1	1633	5.923	59	26	0.008
73	edo2	1164	4.222	55	42	0.008
74	prosper	1612	5.847	56	16	0.008
75	iste2	20938	75.939	133	81	0.008
76	leuiticus	390	1.415	51	25	0.008
77	2	4069	14.758	66	39	0.008
78	4	3774	13.688	63	37	0.008
79	actus	3384	12.273	61	36	0.008
80	(	30251	109.716	167	72	0.008
81	sanctus2	10126	36.726	88	43	0.008
82	sexto	655	2.376	50	27	0.008
83	appello1	6044	21.921	72	33	0.008
84	3	4170	15.124	63	36	0.008
85	generatio	2678	9.713	56	29	0.008
86	compono	2568	9.314	56	40	0.008
87	inuenio	15419	55.922	103	76	0.007
88	expono	3296	11.954	58	39	0.007
89	epistola	8199	29.737	75	44	0.007
90	prologus	259	0.939	46	26	0.007
91	qui2	510903	1852.969	1922	391	0.007
92	unde	25621	92.924	139	69	0.007
93	expositio	1004	3.641	49	37	0.007
94	--	164067	595.047	630	214	0.007
95	reperio	3975	14.417	58	41	0.007
96	nomen	25313	91.807	131	87	0.007
97	dico3	128642	466.566	477	142	0.007
98	deuteronomium	394	1.429	43	26	0.007
99	explicit	202	0.733	42	25	0.007
100	perseuerantia	551	1.998	43	8	0.007
101	memoro	3082	11.178	54	24	0.007
102	psalmus	6551	23.76	63	37	0.007
103	ut	168062	609.536	587	171	0.007
104	sermo	9216	33.425	70	41	0.007
105	commemoro	1690	6.129	45	26	0.006
106	superus	2965	10.754	49	28	0.006
107	doctor	5048	18.308	56	32	0.006
108	pleniter	1576	5.716	44	30	0.006
109	testor	2767	10.036	48	40	0.006
110	quidam	24360	88.35	116	78	0.006
111	;	116352	421.992	398	151	0.006
112	auctor	4106	14.892	51	38	0.006
113	sacer	11163	40.487	73	56	0.006
114	demonstro	4132	14.986	51	37	0.006
115	nonus	2221	8.055	45	25	0.006
116	nauis	1850	6.71	43	27	0.006
117	enchiridion	74	0.268	38	18	0.006
118	scriptura	9540	34.6	67	43	0.006
119	correptio	703	2.55	40	8	0.006
120	beda	1356	4.918	41	20	0.006
121	describo	2081	7.548	43	37	0.006
122	,	2210261	8016.289	6686	591	0.006
123	uerbum	27300	99.013	118	71	0.006
124	refero	6201	22.49	55	42	0.006
125	testimonium	6030	21.87	53	38	0.006
126	etiam	39518	143.326	148	95	0.006
127	et	725333	2630.675	2118	402	0.006
128	apocryphicus	162	0.588	35	15	0.006
129	antiquitas	326	1.182	35	24	0.006
130	sextus	2095	7.598	40	27	0.006
131	habeo	59550	215.979	196	111	0.006
132	signo	2460	8.922	41	21	0.006
133	prophetia	1744	6.325	38	22	0.005
134	retractatio	136	0.493	34	14	0.005
135	sum	524045	1900.634	1457	336	0.005
136	exordium	953	3.456	35	26	0.005
137	religio	3054	11.076	41	22	0.005
138	multus	21416	77.673	90	63	0.005
139	apocalypsis	859	3.116	35	26	0.005
140	scriptor	910	3.3	35	23	0.005
141	propheticus	1117	4.051	35	24	0.005
142	sequor	15585	56.525	72	48	0.005
143	hic1	15083	54.704	71	48	0.005
144	ubi	18833	68.305	81	62	0.005
145	hinc	7125	25.841	51	29	0.005
146	principium	3225	11.697	40	27	0.005
147	sacramentum	5790	21	46	31	0.005
148	ostendo	14357	52.071	68	39	0.005
149	siue	22976	83.331	94	62	0.005
150	septem	4445	16.121	42	24	0.005
151	plures	2957	10.725	38	22	0.005
152	5	3578	12.977	40	23	0.005
153	pono	17333	62.864	72	44	0.005
154	gesta	1158	4.2	33	23	0.005
155	fides	30182	109.466	103	51	0.005
156	alius	47026	170.556	143	89	0.005
157	quod	53580	194.327	159	91	0.005
158	pastoralis	528	1.915	31	16	0.005
159	accipio	20568	74.597	80	40	0.005
160	titulus	1835	6.655	34	25	0.005
161	)	30262	109.756	101	71	0.005
162	nouus	9489	34.415	52	38	0.005
163	mortuus	6656	24.14	45	30	0.005
164	regnum	16889	61.254	69	39	0.005
165	inscribo	321	1.164	30	24	0.005
166	bonus	26208	95.053	90	36	0.005
167	ipse2	84491	306.436	230	131	0.005
168	opus1	24361	88.354	85	57	0.005
169	suus	117610	426.554	302	133	0.005
170	antiquus	4057	14.714	38	31	0.005
171	locus	27046	98.092	89	60	0.005
172	memini	1496	5.426	31	24	0.005
173	initium	3538	12.832	36	27	0.005
174	soluo	4073	14.772	37	29	0.005
175	aio	18645	67.623	69	41	0.005
176	octauo	691	2.506	29	21	0.004
177	uiginti	2038	7.392	32	18	0.004
178	enim	66589	241.508	174	97	0.004
179	hypomnesticon	37	0.134	27	3	0.004
180	si	77083	279.569	196	98	0.004
181	ad	177121	642.392	422	181	0.004
182	?	41969	152.215	116	60	0.004
183	apostolus	27482	99.673	86	46	0.004
184	commentarium	286	1.037	27	17	0.004
185	cum2	48101	174.455	127	83	0.004
186	primum	5850	21.217	39	30	0.004
187	tricesimus	620	2.249	27	9	0.004
188	ceterus	13284	48.179	54	40	0.004
189	christianus1	5821	21.112	38	33	0.004
190	a	138248	501.405	315	182	0.004
191	tractatus	659	2.39	27	23	0.004
192	egredior	3145	11.406	32	9	0.004
193	diuersus	6111	22.164	38	33	0.004
194	aduersus2	3751	13.604	33	25	0.004
195	nam	23565	85.467	73	45	0.004
196	que	76595	277.799	179	109	0.004
197	pars	17433	63.227	59	46	0.004
198	secundum1	20166	73.139	66	50	0.004
199	ille2	110466	400.644	247	136	0.004
200	omnis	114016	413.519	250	139	0.004
201	papa	6029	21.866	36	28	0.004
202	miraculum	1579	5.727	27	17	0.004
203	uis	7470	27.093	39	20	0.004
204	canon	4285	15.541	32	24	0.004
205	gentilis	2574	9.336	28	23	0.004
206	mentio	635	2.303	25	21	0.004
207	iam	20595	74.695	63	47	0.004
208	7	2452	8.893	28	15	0.004
209	homo	47745	173.164	112	48	0.004
210	10	2211	8.019	27	16	0.004
211	episcopus	33792	122.559	85	52	0.004
212	predictus	5771	20.931	33	26	0.004
213	apud	14047	50.946	48	32	0.004
214	doctrina	7028	25.49	35	28	0.004
215	uel	61906	224.524	137	76	0.004
216	codex	2028	7.355	26	21	0.004
217	homilia	934	3.388	24	17	0.004
218	autem	64914	235.434	140	78	0.004
219	nec	57170	207.347	126	78	0.004
220	baptismum	3341	12.117	28	18	0.004
221	atque	64010	232.155	136	89	0.004
222	uiuo	12684	46.003	45	33	0.004
223	singulus	7284	26.418	35	21	0.004
224	copia	1190	4.316	24	20	0.004
225	sequens	1845	6.692	25	20	0.004
226	quis	41464	150.384	93	59	0.004
227	tantum	9319	33.799	38	25	0.004
228	sub	14326	51.958	47	32	0.004
229	fulgenter	85	0.308	22	14	0.004
230	recipio	7846	28.456	34	28	0.003
231	pater	42897	155.581	93	61	0.003
232	areopagites	117	0.424	21	6	0.003
233	quia	98686	357.92	188	89	0.003
234	undecimus	552	2.002	22	14	0.003
235	is2	288636	1046.84	505	214	0.003
236	uero1	35931	130.316	81	64	0.003
237	ordo	10155	36.831	38	29	0.003
238	moralia	87	0.316	21	10	0.003
239	totus	19267	69.879	53	44	0.003
240	super	23579	85.518	62	42	0.003
241	manifestus	4330	15.704	28	23	0.003
242	disputo	997	3.616	23	12	0.003
243	catholicus	5746	20.84	30	19	0.003
244	similiter	5771	20.931	30	25	0.003
245	euangelista	2646	9.597	25	19	0.003
246	facio	73916	268.082	144	104	0.003
247	cum1	70084	254.184	135	95	0.003
248	duodecimus	433	1.57	21	13	0.003
249	iuxta1	11099	40.254	39	26	0.003
250	uideo	45783	166.048	96	64	0.003
251	duodecim	2409	8.737	25	19	0.003
252	spiritus	31474	114.152	70	29	0.003
253	canonicus2	913	3.311	21	14	0.003
254	aperte	2530	9.176	24	18	0.003
255	quam	41978	152.248	86	67	0.003
256	presens	10088	36.588	36	19	0.003
257	loquor	15720	57.014	45	38	0.003
258	institutio	949	3.442	21	15	0.003
259	satis	3302	11.976	25	19	0.003
260	sed	101708	368.88	184	119	0.003
261	musaicus	122	0.443	20	11	0.003
262	profero	4745	17.209	27	23	0.003
263	colligo2	3327	12.067	25	22	0.003
264	officium	6002	21.768	28	22	0.003
265	quippe	7694	27.905	31	21	0.003
266	declaro	1798	6.521	22	17	0.003
267	uersus2	2043	7.41	22	19	0.003
268	teneo	10923	39.616	36	29	0.003
269	8	2494	9.045	23	15	0.003
270	magnus	24102	87.414	56	46	0.003
271	plurimus	4294	15.574	26	24	0.003
272	littera	7696	27.912	31	28	0.003
273	paucus	3823	13.866	25	17	0.003
274	sic	22224	80.603	53	45	0.003
275	precedens	704	2.553	20	13	0.003
276	hebraicus	973	3.529	20	11	0.003
277	igitur	11511	41.749	36	27	0.003
278	heresis	1462	5.303	21	12	0.003
279	possum	56956	206.571	104	81	0.003
280	ergo1	29670	107.609	64	45	0.003
281	gratis	946	3.431	20	6	0.003
282	quicumque	9527	34.553	33	22	0.003
283	synodus1	5574	20.216	27	11	0.003
284	iste1	2466	8.944	22	15	0.003
285	intellego	19060	69.128	46	33	0.003
286	aliquis	23119	83.849	52	42	0.003
287	manifesto2	2626	9.524	22	10	0.003
288	hic2	9598	34.811	32	27	0.003
289	ueteres	678	2.459	19	16	0.003
290	distinguo	963	3.493	19	17	0.003
291	mitto	15279	55.415	40	33	0.003
292	per	98723	358.054	163	106	0.003
293	noster	59504	215.812	103	72	0.003
294	doceo	10200	36.994	33	28	0.003
295	quomodo	10295	37.338	33	25	0.003
296	lector	1435	5.205	20	17	0.003
297	itaque	8518	30.894	29	23	0.003
298	fio	22271	80.774	48	41	0.003
299	disputatio	600	2.176	18	12	0.003
300	post2	23168	84.027	50	37	0.003
301	natura	10944	39.692	33	17	0.003
302	tam	10045	36.432	32	26	0.003
303	imperator	8703	31.565	30	20	0.003
304	res	22399	81.238	48	43	0.003
305	confessio	3889	14.105	23	15	0.003
306	diligenter	2553	9.259	21	19	0.003
307	sepe	5477	19.864	25	18	0.003
308	breuiter	1231	4.465	19	16	0.003
309	authenticus	145	0.526	17	15	0.003
310	sumo	4460	16.176	23	19	0.003
311	nonnulli	2400	8.704	20	18	0.003
312	octo1	1632	5.919	19	15	0.003
313	non	212441	770.492	301	157	0.003
314	uerus	13589	49.285	35	21	0.003
315	manus2	17027	61.754	39	30	0.003
316	populus1	22668	82.214	47	31	0.003
317	impono	2579	9.354	20	10	0.003
318	insero1	1473	5.342	19	17	0.003
319	capitularis1	318	1.153	17	8	0.003
320	tempus	29849	108.258	56	43	0.003
321	signum	14316	51.922	36	32	0.003
322	monachus	5525	20.038	24	16	0.003
323	benedictus	2312	8.385	20	6	0.003
324	uidelicet	10383	37.658	31	22	0.003
325	usque	24197	87.759	49	39	0.003
326	penitentia	8009	29.048	26	14	0.003
327	memoria	4810	17.445	22	21	0.003
328	tamen	22532	81.72	46	35	0.003
329	gratia2	23297	84.495	46	20	0.003
330	tuus	47270	171.441	78	57	0.003
331	inuoluo	652	2.365	17	7	0.003
332	octauus	592	2.147	17	12	0.003
333	excerptio	166	0.602	16	14	0.003
334	exsto	744	2.698	17	14	0.003
335	trado	8965	32.515	28	22	0.003
336	etymologia	154	0.559	16	13	0.003
337	finio	2137	7.751	19	17	0.003
338	pontificalis	546	1.98	17	6	0.003
339	maxime	3871	14.04	21	20	0.003
340	dominus	89984	326.359	126	82	0.003
341	uir	19443	70.517	40	38	0.003
342	sedeo	5409	19.618	22	15	0.003
343	explanatio	217	0.787	16	11	0.003
344	auctoritas	8934	32.402	27	25	0.003
345	solum1	10488	38.038	28	26	0.003
346	deus	140088	508.078	193	99	0.003
347	supra2	3902	14.152	20	14	0.003
348	explecto	1331	4.827	17	17	0.003
349	aduersus3	2204	7.994	18	4	0.003
350	11	1487	5.393	17	14	0.003
351	edictum	613	2.223	16	15	0.003
352	annus	23523	85.314	45	32	0.003
353	aut	34719	125.921	61	36	0.003
354	integer	2659	9.644	19	17	0.003
355	lapsi	257	0.932	16	6	0.003
356	liber2	4479	16.245	21	12	0.003
357	uolo2	23240	84.288	44	35	0.003
358	fero	7669	27.814	25	19	0.003
359	paulus	8919	32.348	25	20	0.002
360	solus1	8953	32.471	26	24	0.002
361	ascribo	825	2.992	16	14	0.002
362	bellum	3563	12.923	19	15	0.002
363	nullus	24241	87.919	46	38	0.002
364	disco	4055	14.707	19	19	0.002
365	quidem	13370	48.491	30	27	0.002
366	significo	10220	37.066	26	21	0.002
