No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value
1	hypomnesticon	37	0.134	27	3	7.652
2	georgicus	7	0.025	5	4	7.621
3	lasciuus2	12	0.044	7	6	7.33
4	enchiridion	74	0.268	38	18	7.145
5	dialogus	153	0.555	60	38	6.757
6	antapodosis	16	0.058	6	2	6.693
7	moralis	382	1.386	123	40	6.472
8	fulgenter	85	0.308	22	14	6.157
9	retractatio	136	0.493	34	14	6.107
10	acta2	37	0.134	9	3	6.067
11	moralia	87	0.316	21	10	6.057
12	diuinus2	40	0.145	9	8	5.955
13	apocryphicus	162	0.588	35	15	5.897
14	epigramma	42	0.152	9	3	5.885
15	explicit	202	0.733	42	25	5.841
16	hermes	55	0.2	11	9	5.785
17	philos	27	0.098	5	4	5.674
18	areopagites	117	0.424	21	6	5.629
19	prologus	259	0.939	46	26	5.614
20	historicus2	42	0.152	7	4	5.522
21	musaicus	122	0.443	20	11	5.498
22	missalis	62	0.225	10	8	5.475
23	genesis	802	2.909	124	76	5.414
24	falso2	68	0.247	10	4	5.342
25	illustris1	35	0.127	5	5	5.3
26	leuiticus	390	1.415	51	25	5.172
27	apologeticus	58	0.21	7	6	5.056
28	authenticus	145	0.526	17	15	5.015
29	sigale	94	0.341	11	8	5.012
30	fastus1	43	0.156	5	4	5.002
31	deuteronomium	394	1.429	43	26	4.911
32	exodium	598	2.169	65	39	4.905
33	appendix	129	0.468	14	3	4.903
34	antiquitas	326	1.182	35	24	4.888
35	prefatio	628	2.278	66	39	4.857
36	etymologia	154	0.559	16	13	4.84
37	flosculus	49	0.178	5	5	4.814
38	pentateuchum	50	0.181	5	4	4.785
39	manuscriptum	80	0.29	8	6	4.785
40	computus	110	0.399	11	5	4.785
41	excerptio	166	0.602	16	14	4.732
42	uaro2	52	0.189	5	5	4.729
43	commentarium	286	1.037	27	17	4.702
44	pretitulo	53	0.192	5	5	4.701
45	inscribo	321	1.164	30	24	4.688
46	titulo	129	0.468	12	8	4.681
47	additio	100	0.363	9	4	4.633
48	pelagium	59	0.214	5	2	4.546
49	didymus	71	0.258	6	6	4.542
50	adulterinus	119	0.432	10	5	4.534
51	pleuio	72	0.261	6	5	4.522
52	ambrosius	976	3.54	78	32	4.462
53	perseuerantia	551	1.998	43	8	4.427
54	premium2	90	0.326	7	7	4.423
55	uicesimus	821	2.978	63	23	4.403
56	sexto	655	2.376	50	27	4.396
57	penitentialis	200	0.725	15	5	4.37
58	explanatio	217	0.787	16	11	4.346
59	astipulor	68	0.247	5	4	4.342
60	chronicus	141	0.511	10	8	4.289
61	decimus	1884	6.833	130	39	4.25
62	excerpo	167	0.606	11	9	4.183
63	clausula	78	0.283	5	5	4.144
64	conferuefacio	143	0.519	9	5	4.117
65	lapsi	257	0.932	16	6	4.101
66	philosophicus	98	0.355	6	4	4.077
67	tripartitus	98	0.355	6	5	4.077
68	capitulare	182	0.66	11	5	4.059
69	capitulum	3551	12.879	212	58	4.041
70	pastoralis	528	1.915	31	16	4.017
71	ecclesiastes2	103	0.374	6	5	4.005
72	historia	2949	10.696	170	82	3.99
73	correptio	703	2.55	40	8	3.972
74	auctus1	141	0.511	8	8	3.967
75	uolumen	1144	4.149	64	36	3.947
76	quinque	3634	13.18	201	76	3.931
77	capitularis1	318	1.153	17	8	3.882
78	gista	152	0.551	8	3	3.859
79	deleo	1477	5.357	76	47	3.827
80	coniugalis1	214	0.776	11	2	3.825
81	elegans	139	0.504	7	5	3.796
82	editus1	159	0.577	8	7	3.794
83	hilariter	259	0.939	13	6	3.791
84	secundus	7209	26.146	361	159	3.787
85	faustus	220	0.798	11	8	3.785
86	aris	100	0.363	5	5	3.785
87	conscribo	1267	4.595	62	48	3.754
88	expositio	1004	3.641	49	37	3.75
89	decerpo	123	0.446	6	6	3.75
90	duodecimus	433	1.57	21	13	3.741
91	edo2	1164	4.222	55	42	3.704
92	prolixitas	192	0.696	9	5	3.692
93	lego1	1284	4.657	59	43	3.663
94	index	218	0.791	10	9	3.661
95	quartus	4056	14.711	182	86	3.629
96	lego2	9617	34.879	422	175	3.597
97	quintus	2584	9.372	113	52	3.592
98	tricesimus	620	2.249	27	9	3.586
99	incipio	3936	14.275	169	76	3.565
100	octauo	691	2.506	29	21	3.532
101	exaro	336	1.219	14	13	3.522
102	septimus1	2325	8.432	96	50	3.509
103	tractatus	659	2.39	27	23	3.498
104	apocalypsis	859	3.116	35	26	3.49
105	undecimus	552	2.002	22	14	3.458
106	commentum	201	0.729	8	5	3.456
107	mentio	635	2.303	25	21	3.44
108	scriptor	910	3.3	35	23	3.407
109	reparatio	214	0.776	8	2	3.366
110	1	3478	12.614	130	53	3.365
111	predestinatio	2248	8.153	84	26	3.365
112	exordium	953	3.456	35	26	3.34
113	questio1	1633	5.923	59	26	3.316
114	hierarchia	418	1.516	15	6	3.307
115	item	9686	35.13	341	57	3.279
116	prosper	1612	5.847	56	16	3.26
117	tertius	7799	28.286	266	116	3.233
118	scribo1	20693	75.05	692	214	3.205
119	edissero	150	0.544	5	5	3.2
120	uetustus	283	1.026	9	7	3.132
121	quattuor	5642	20.463	179	71	3.129
122	catalogus	319	1.157	10	7	3.112
123	propheticus	1117	4.051	35	24	3.111
124	pontificalis	546	1.98	17	6	3.102
125	canticus	546	1.98	17	11	3.102
126	beda	1356	4.918	41	20	3.059
127	signaculum	465	1.687	14	13	3.053
128	disputatio	600	2.176	18	12	3.048
129	retracto	304	1.103	9	6	3.029
130	primus	14793	53.652	435	177	3.019
131	totidem	347	1.259	10	9	2.99
132	octauus	592	2.147	17	12	2.985
133	prefixus	279	1.012	8	7	2.983
134	gesta	1158	4.2	33	23	2.974
135	precedens	704	2.553	20	13	2.97
136	ueteres	678	2.459	19	16	2.95
137	pleniter	1576	5.716	44	30	2.944
138	trinitas	4195	15.215	116	38	2.931
139	sedecim	187	0.678	5	3	2.882
140	explano	412	1.494	11	9	2.88
141	commemoro	1690	6.129	45	26	2.876
142	prenoto	189	0.686	5	5	2.867
143	elogium	190	0.689	5	5	2.859
144	lectio	2600	9.43	68	36	2.85
145	edictum	613	2.223	16	15	2.847
146	inuoluo	652	2.365	17	7	2.846
147	ecclesiasticus1	5501	19.951	143	77	2.841
148	numerus	8610	31.227	223	71	2.836
149	homilia	934	3.388	24	17	2.825
150	prouerbium	552	2.002	14	12	2.806
151	manicheius	282	1.023	7	6	2.775
152	aperio	4103	14.881	101	46	2.763
153	33	246	0.892	6	2	2.75
154	narro	3019	10.95	73	34	2.737
155	bibliotheca	458	1.661	11	9	2.727
156	christiana	300	1.088	7	5	2.686
