No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	MI3 value
1	in	463796	1682.119	5543	485	26.593
2	,	2210261	8016.289	6686	591	25.152
3	-	356744	1293.858	3292	399	24.717
4	.	894868	3245.554	4209	449	24.454
5	de	136672	495.689	2086	342	24.126
6	scribo1	20693	75.05	692	214	22.074
7	qui2	510903	1852.969	1922	391	21.87
8	et	725333	2630.675	2118	402	21.784
9	:	232010	841.466	1404	243	21.649
10	idem2	43462	157.63	766	165	21.443
11	lego2	9617	34.879	422	175	21.039
12	secundus	7209	26.146	361	159	20.779
13	sum	524045	1900.634	1457	336	20.634
14	primus	14793	53.652	435	177	20.549
15	moralis	382	1.386	123	40	20.357
16	item	9686	35.13	341	57	20.106
17	rex	31400	113.883	492	122	19.996
18	capitulum	3551	12.879	212	58	19.497
19	hic3	167450	607.316	764	237	19.486
20	ex	66613	241.596	544	184	19.346
21	tertius	7799	28.286	266	116	19.344
22	genesis	802	2.909	124	76	19.322
23	quinque	3634	13.18	201	76	19.233
24	beatus	22102	80.161	360	120	19.151
25	caput	17026	61.751	308	92	18.852
26	historia	2949	10.696	170	82	18.809
27	sanctus1	70547	255.864	486	141	18.775
28	--	164067	595.047	630	214	18.681
29	quartus	4056	14.711	182	86	18.645
30	dialogus	153	0.555	60	38	18.57
31	numerus	8610	31.227	223	71	18.438
32	incipio	3936	14.275	169	76	18.367
33	ut	168062	609.536	587	171	18.34
34	decimus	1884	6.833	130	39	18.295
35	quattuor	5642	20.463	179	71	18.097
36	dico3	128642	466.566	477	142	17.828
37	unus	37779	137.019	308	74	17.702
38	enchiridion	74	0.268	38	18	17.641
39	diuinus1	20429	74.093	244	122	17.581
40	1	3478	12.614	130	53	17.41
41	quintus	2584	9.372	113	52	17.232
42	;	116352	421.992	398	151	17.189
43	hypomnesticon	37	0.134	27	3	17.162
44	ecclesiasticus1	5501	19.951	143	77	17.161
45	sicut	41928	152.067	281	119	17.155
46	lex	23038	83.555	226	98	17.076
47	euangelium	10708	38.836	174	77	17.049
48	ambrosius	976	3.54	78	32	17.033
49	exodium	598	2.169	65	39	16.95
50	prefatio	628	2.278	66	39	16.946
51	is2	288636	1046.84	505	214	16.909
52	ad	177121	642.392	422	181	16.836
53	septimus1	2325	8.432	96	50	16.679
54	prologus	259	0.939	46	26	16.661
55	trinitas	4195	15.215	116	38	16.647
56	explicit	202	0.733	42	25	16.626
57	liber1	12354	44.806	162	39	16.534
58	leuiticus	390	1.415	51	25	16.517
59	uita	30381	110.187	210	131	16.359
60	uicesimus	821	2.978	63	23	16.358
61	deleo	1477	5.357	76	47	16.322
62	retractatio	136	0.493	34	14	16.282
63	apocryphicus	162	0.588	35	15	16.155
64	predestinatio	2248	8.153	84	26	16.15
65	sapientia	8726	31.648	131	78	16.116
66	aperio	4103	14.881	101	46	16.079
67	iudex	5361	19.444	110	51	16.063
68	contineo	4468	16.205	102	70	15.999
69	contra2	15581	56.51	154	54	15.98
70	suus	117610	426.554	302	133	15.979
71	uolumen	1144	4.149	64	36	15.947
72	a	138248	501.405	315	182	15.928
73	propheta	14538	52.727	145	69	15.819
74	finis	10813	39.217	131	69	15.807
75	deuteronomium	394	1.429	43	26	15.764
76	sexto	655	2.376	50	27	15.683
77	conscribo	1267	4.595	62	48	15.662
78	duo	16653	60.398	145	78	15.623
79	ita	28529	103.471	170	87	15.535
80	inter	18369	66.622	145	70	15.482
81	lego1	1284	4.657	59	43	15.429
82	(	30251	109.716	167	72	15.373
83	ciuitas	12845	46.587	124	50	15.321
84	perseuerantia	551	1.998	43	8	15.28
85	ipse2	84491	306.436	230	131	15.277
86	edo2	1164	4.222	55	42	15.266
87	omnis	114016	413.519	250	139	15.206
88	ille2	110466	400.644	247	136	15.199
89	antiquitas	326	1.182	35	24	15.146
90	narro	3019	10.95	73	34	15.117
91	non	212441	770.492	301	157	15.111
92	habeo	59550	215.979	196	111	15.089
93	questio1	1633	5.923	59	26	15.082
94	fulgenter	85	0.308	22	14	15.076
95	lectio	2600	9.43	68	36	15.025
96	expositio	1004	3.641	49	37	14.98
97	prefatus1	3657	13.263	75	34	14.957
98	iste2	20938	75.939	133	81	14.919
99	quoque	16521	59.919	122	70	14.887
100	prosper	1612	5.847	56	16	14.874
101	uetus	4403	15.969	78	49	14.859
102	moralia	87	0.316	21	10	14.841
103	testamentum	4862	17.634	80	44	14.826
104	unde	25621	92.924	139	69	14.819
105	si	77083	279.569	196	98	14.717
106	tres	11031	40.008	102	61	14.695
107	correptio	703	2.55	40	8	14.615
108	nomen	25313	91.807	131	87	14.58
109	seruus2	9225	33.458	92	60	14.506
110	inscribo	321	1.164	30	24	14.501
111	etiam	39518	143.326	148	95	14.465
112	prior	4247	15.403	70	27	14.443
113	sententia	8224	29.827	87	49	14.43
114	areopagites	117	0.424	21	6	14.414
115	enim	66589	241.508	174	97	14.413
116	quod	53580	194.327	159	91	14.336
117	que	76595	277.799	179	109	14.334
118	inuenio	15419	55.922	103	76	14.254
119	2	4069	14.758	66	39	14.25
120	commentarium	286	1.037	27	17	14.212
121	compono	2568	9.314	56	40	14.203
122	quia	98686	357.92	188	89	14.18
123	sanctus2	10126	36.726	88	43	14.18
124	actus	3384	12.273	61	36	14.175
125	4	3774	13.688	63	37	14.157
126	generatio	2678	9.713	56	29	14.142
127	musaicus	122	0.443	20	11	14.142
128	quidam	24360	88.35	116	78	14.109
129	alius	47026	170.556	143	89	14.066
130	appello1	6044	21.921	72	33	14.056
131	sed	101708	368.88	184	119	14.044
132	uerbum	27300	99.013	118	71	14.018
133	3	4170	15.124	63	36	14.013
134	expono	3296	11.954	58	39	13.995
135	pastoralis	528	1.915	31	16	13.925
136	pleniter	1576	5.716	44	30	13.863
137	commemoro	1690	6.129	45	26	13.86
138	epistola	8199	29.737	75	44	13.792
139	deus	140088	508.078	193	99	13.788
140	memoro	3082	11.178	54	24	13.782
141	beda	1356	4.918	41	20	13.775
142	apocalypsis	859	3.116	35	26	13.748
143	reperio	3975	14.417	58	41	13.724
144	scriptor	910	3.3	35	23	13.665
145	exordium	953	3.456	35	26	13.599
146	per	98723	358.054	163	106	13.562
147	nauis	1850	6.71	43	27	13.533
148	cum2	48101	174.455	127	83	13.519
149	autem	64914	235.434	140	78	13.509
150	uel	61906	224.524	137	76	13.483
151	nonus	2221	8.055	45	25	13.466
152	facio	73916	268.082	144	104	13.443
153	testor	2767	10.036	48	40	13.428
154	superus	2965	10.754	49	28	13.417
155	atque	64010	232.155	136	89	13.403
156	propheticus	1117	4.051	35	24	13.37
157	describo	2081	7.548	43	37	13.363
158	psalmus	6551	23.76	63	37	13.361
159	sermo	9216	33.425	70	41	13.325
160	?	41969	152.215	116	60	13.324
161	fides	30182	109.466	103	51	13.285
162	siue	22976	83.331	94	62	13.283
163	octauo	691	2.506	29	21	13.248
164	cum1	70084	254.184	135	95	13.241
165	nec	57170	207.347	126	78	13.236
166	sacer	11163	40.487	73	56	13.23
167	doctor	5048	18.308	56	32	13.228
168	)	30262	109.756	101	71	13.196
169	multus	21416	77.673	90	63	13.196
170	authenticus	145	0.526	17	15	13.19
171	auctor	4106	14.892	51	38	13.121
172	demonstro	4132	14.986	51	37	13.112
173	tricesimus	620	2.249	27	9	13.096
174	scriptura	9540	34.6	67	43	13.086
175	prophetia	1744	6.325	38	22	13.083
176	gesta	1158	4.2	33	23	13.063
177	sextus	2095	7.598	40	27	13.04
178	tractatus	659	2.39	27	23	13.008
179	homo	47745	173.164	112	48	12.986
180	lasciuus2	12	0.044	7	6	12.944
181	ubi	18833	68.305	81	62	12.926
182	signo	2460	8.922	41	21	12.915
183	bonus	26208	95.053	90	36	12.905
184	refero	6201	22.49	55	42	12.853
185	etymologia	154	0.559	16	13	12.84
186	locus	27046	98.092	89	60	12.811
187	opus1	24361	88.354	85	57	12.763
188	accipio	20568	74.597	80	40	12.745
189	testimonium	6030	21.87	53	38	12.733
190	excerptio	166	0.602	16	14	12.732
191	mentio	635	2.303	25	21	12.728
192	hermes	55	0.2	11	9	12.704
193	sequor	15585	56.525	72	48	12.689
194	hic1	15083	54.704	71	48	12.676
195	apostolus	27482	99.673	86	46	12.64
196	religio	3054	11.076	41	22	12.603
197	dominus	89984	326.359	126	82	12.582
198	ostendo	14357	52.071	68	39	12.56
199	pono	17333	62.864	72	44	12.536
200	titulus	1835	6.655	34	25	12.528
201	duodecimus	433	1.57	21	13	12.526
202	appendix	129	0.468	14	3	12.518
203	memini	1496	5.426	31	24	12.423
204	principium	3225	11.697	40	27	12.418
205	possum	56956	206.571	104	81	12.411
206	acta2	37	0.134	9	3	12.407
207	regnum	16889	61.254	69	39	12.389
208	quis	41464	150.384	93	59	12.385
209	uideo	45783	166.048	96	64	12.379
210	undecimus	552	2.002	22	14	12.377
211	explanatio	217	0.787	16	11	12.346
212	pater	42897	155.581	93	61	12.336
213	hinc	7125	25.841	51	29	12.326
214	plures	2957	10.725	38	22	12.321
215	noster	59504	215.812	103	72	12.306
216	diuinus2	40	0.145	9	8	12.295
217	episcopus	33792	122.559	85	52	12.291
218	5	3578	12.977	40	23	12.268
219	georgicus	7	0.025	5	4	12.265
220	aio	18645	67.623	69	41	12.246
221	epigramma	42	0.152	9	3	12.225
222	penitentialis	200	0.725	15	5	12.184
223	sacramentum	5790	21	46	31	12.178
224	septem	4445	16.121	42	24	12.166
225	nam	23565	85.467	73	45	12.152
226	missalis	62	0.225	10	8	12.119
227	uiginti	2038	7.392	32	18	12.114
228	lapsi	257	0.932	16	6	12.101
229	capitularis1	318	1.153	17	8	12.057
230	quam	41978	152.248	86	67	12.029
231	nouus	9489	34.415	52	38	11.996
232	homilia	934	3.388	24	17	11.995
233	uero1	35931	130.316	81	64	11.994
234	falso2	68	0.247	10	4	11.985
235	secundum1	20166	73.139	66	50	11.941
236	sigale	94	0.341	11	8	11.931
237	mortuus	6656	24.14	45	30	11.882
238	antiquus	4057	14.714	38	31	11.865
239	antapodosis	16	0.058	6	2	11.862
240	titulo	129	0.468	12	8	11.851
241	initium	3538	12.832	36	27	11.828
242	miraculum	1579	5.727	27	17	11.747
243	soluo	4073	14.772	37	29	11.744
244	disputo	997	3.616	23	12	11.716
245	iam	20595	74.695	63	47	11.709
246	computus	110	0.399	11	5	11.704
247	ceterus	13284	48.179	54	40	11.674
248	pars	17433	63.227	59	46	11.665
249	copia	1190	4.316	24	20	11.645
250	precedens	704	2.553	20	13	11.613
251	spiritus	31474	114.152	70	29	11.553
252	egredior	3145	11.406	32	9	11.488
253	canonicus2	913	3.311	21	14	11.45
254	primum	5850	21.217	39	30	11.449
255	ueteres	678	2.459	19	16	11.446
256	super	23579	85.518	62	42	11.444
257	tuus	47270	171.441	78	57	11.435
258	institutio	949	3.442	21	15	11.394
259	disputatio	600	2.176	18	12	11.388
260	se	80262	291.098	92	65	11.385
261	christus	59315	215.127	83	53	11.376
262	aduersus2	3751	13.604	33	25	11.367
263	christianus1	5821	21.112	38	33	11.344
264	ego	60664	220.019	82	58	11.291
265	pontificalis	546	1.98	17	6	11.277
266	canticus	546	1.98	17	11	11.277
267	diuersus	6111	22.164	38	33	11.274
268	7	2452	8.893	28	15	11.269
269	10	2211	8.019	27	16	11.261
270	ergo1	29670	107.609	64	45	11.25
271	codex	2028	7.355	26	21	11.223
272	gentilis	2574	9.336	28	23	11.199
273	hilariter	259	0.939	13	6	11.192
274	sequens	1845	6.692	25	20	11.189
275	gratis	946	3.431	20	6	11.187
276	adulterinus	119	0.432	10	5	11.178
277	octauus	592	2.147	17	12	11.16
278	hebraicus	973	3.529	20	11	11.147
279	historicus2	42	0.152	7	4	11.137
280	exaro	336	1.219	14	13	11.137
281	hierarchia	418	1.516	15	6	11.12
282	excerpo	167	0.606	11	9	11.102
283	uis	7470	27.093	39	20	11.096
284	apud	14047	50.946	48	32	11.084
285	papa	6029	21.866	36	28	11.059
286	totus	19267	69.879	53	44	11.057
287	canon	4285	15.541	32	24	11.042
288	inuoluo	652	2.365	17	7	11.021
289	capitulare	182	0.66	11	5	10.978
290	additio	100	0.363	9	4	10.973
291	magnus	24102	87.414	56	46	10.972
292	sub	14326	51.958	47	32	10.964
293	uiuo	12684	46.003	45	33	10.952
294	distinguo	963	3.493	19	17	10.939
295	chronicus	141	0.511	10	8	10.933
296	sic	22224	80.603	53	45	10.851
297	edictum	613	2.223	16	15	10.847
298	exsto	744	2.698	17	14	10.83
299	baptismum	3341	12.117	28	18	10.823
300	aut	34719	125.921	61	36	10.816
301	duodecim	2409	8.737	25	19	10.804
302	manuscriptum	80	0.29	8	6	10.785
303	heresis	1462	5.303	21	12	10.77
304	predictus	5771	20.931	33	26	10.746
305	coniugalis1	214	0.776	11	2	10.744
306	doctrina	7028	25.49	35	28	10.716
307	aliquis	23119	83.849	52	42	10.712
308	faustus	220	0.798	11	8	10.704
309	declaro	1798	6.521	22	17	10.673
310	apologeticus	58	0.21	7	6	10.671
311	euangelista	2646	9.597	25	19	10.669
312	signaculum	465	1.687	14	13	10.668
313	tantum	9319	33.799	38	25	10.665
314	singulus	7284	26.418	35	21	10.664
315	tempus	29849	108.258	56	43	10.664
316	loquor	15720	57.014	45	38	10.642
317	nos	57619	208.976	69	48	10.618
318	lector	1435	5.205	20	17	10.586
319	breuiter	1231	4.465	19	16	10.585
320	pro	43480	157.696	62	45	10.562
321	aperte	2530	9.176	24	18	10.557
322	ordo	10155	36.831	38	29	10.541
323	post2	23168	84.027	50	37	10.539
324	iuxta1	11099	40.254	39	26	10.525
325	uersus2	2043	7.41	22	19	10.489
326	intellego	19060	69.128	46	33	10.459
327	conferuefacio	143	0.519	9	5	10.457
328	manifestus	4330	15.704	28	23	10.449
329	recipio	7846	28.456	34	28	10.432
330	prouerbium	552	2.002	14	12	10.421
331	fio	22271	80.774	48	41	10.419
332	ascribo	825	2.992	16	14	10.419
333	res	22399	81.238	48	43	10.411
334	8	2494	9.045	23	15	10.394
335	usque	24197	87.759	49	39	10.389
336	satis	3302	11.976	25	19	10.35
337	catholicus	5746	20.84	30	19	10.339
338	colligo2	3327	12.067	25	22	10.339
339	similiter	5771	20.931	30	25	10.333
340	insero1	1473	5.342	19	17	10.326
341	philosophus2	726	2.633	15	13	10.324
342	philos	27	0.098	5	4	10.318
343	presens	10088	36.588	36	19	10.316
344	index	218	0.791	10	9	10.305
345	populus1	22668	82.214	47	31	10.302
346	series	627	2.274	14	13	10.237
347	tamen	22532	81.72	46	35	10.218
348	iste1	2466	8.944	22	15	10.217
349	ecclesia	50122	181.785	60	43	10.215
350	teneo	10923	39.616	36	29	10.202
351	octo1	1632	5.919	19	15	10.178
352	mitto	15279	55.415	40	33	10.174
353	gratia2	23297	84.495	46	20	10.17
354	profero	4745	17.209	27	23	10.16
355	plurimus	4294	15.574	26	24	10.14
356	paucus	3823	13.866	25	17	10.138
357	manifesto2	2626	9.524	22	10	10.127
358	igitur	11511	41.749	36	27	10.126
359	nullus	24241	87.919	46	38	10.113
360	annus	23523	85.314	45	32	10.061
361	quippe	7694	27.905	31	21	10.06
362	littera	7696	27.912	31	28	10.06
363	premium2	90	0.326	7	7	10.037
364	prolixitas	192	0.696	9	5	10.032
365	quicumque	9527	34.553	33	22	10.022
366	dies	35444	128.55	51	33	10.011
367	explecto	1331	4.827	17	17	9.991
368	uolo2	23240	84.288	44	35	9.981
369	officium	6002	21.768	28	22	9.978
370	auctus1	141	0.511	8	8	9.968
371	diligenter	2553	9.259	21	19	9.966
372	illustris1	35	0.127	5	5	9.944
373	synodus1	5574	20.216	27	11	9.927
374	doceo	10200	36.994	33	28	9.924
375	quantitas	786	2.851	14	10	9.911
376	quomodo	10295	37.338	33	25	9.911
377	manus2	17027	61.754	39	30	9.908
378	benedictus	2312	8.385	20	6	9.898
379	hic2	9598	34.811	32	27	9.879
380	gista	152	0.551	8	3	9.859
381	nonnulli	2400	8.704	20	18	9.844
382	11	1487	5.393	17	14	9.831
383	tu	47761	173.222	54	45	9.828
384	uir	19443	70.517	40	38	9.826
385	natura	10944	39.692	33	17	9.822
386	tam	10045	36.432	32	26	9.813
387	signum	14316	51.922	36	32	9.812
388	explano	412	1.494	11	9	9.799
389	editus1	159	0.577	8	7	9.794
390	finio	2137	7.751	19	17	9.789
391	agnellus	546	1.98	12	2	9.769
392	uerus	13589	49.285	35	21	9.765
393	catalogus	319	1.157	10	7	9.755
394	confessio	3889	14.105	23	15	9.753
395	imperator	8703	31.565	30	20	9.74
396	impono	2579	9.354	20	10	9.74
397	partim	888	3.221	14	11	9.735
398	didymus	71	0.258	6	6	9.712
399	monumentum	1118	4.055	15	11	9.701
400	pleuio	72	0.261	6	5	9.692
401	filius	50031	181.455	53	41	9.68
402	fastus1	43	0.156	5	4	9.647
403	bibliotheca	458	1.661	11	9	9.646
404	totidem	347	1.259	10	9	9.634
405	uidelicet	10383	37.658	31	22	9.628
406	itaque	8518	30.894	29	23	9.625
407	sepe	5477	19.864	25	18	9.619
408	do	28094	101.893	43	35	9.608
409	carmen	1216	4.41	15	14	9.58
410	sumo	4460	16.176	23	19	9.555
411	condo	1272	4.613	15	14	9.515
412	aduersus3	2204	7.994	18	4	9.511
413	integer	2659	9.644	19	17	9.474
414	uetustus	283	1.026	9	7	9.472
415	flosculus	49	0.178	5	5	9.458
416	commentum	201	0.729	8	5	9.456
417	coniugium	1348	4.889	15	7	9.431
418	monachus	5525	20.038	24	16	9.43
419	pentateuchum	50	0.181	5	4	9.429
420	elegans	139	0.504	7	5	9.41
421	trado	8965	32.515	28	22	9.399
422	nuptie	1391	5.045	15	4	9.386
423	uaro2	52	0.189	5	5	9.372
424	retracto	304	1.103	9	6	9.369
425	reparatio	214	0.776	8	2	9.366
426	maxime	3871	14.04	21	20	9.366
427	opusculum	728	2.64	12	8	9.354
428	pretitulo	53	0.192	5	5	9.345
429	agnos	943	3.42	13	9	9.327
430	sacerdotalis	1507	5.466	15	11	9.27
431	memoria	4810	17.445	22	21	9.254
432	philosophicus	98	0.355	6	4	9.247
433	tripartitus	98	0.355	6	5	9.247
434	auctoritas	8934	32.402	27	25	9.247
435	penitentia	8009	29.048	26	14	9.241
436	interpres	619	2.245	11	10	9.212
437	pelagium	59	0.214	5	2	9.19
438	ecclesiastes2	103	0.374	6	5	9.175
439	solum1	10488	38.038	28	26	9.173
440	22	483	1.752	10	9	9.157
441	ero	26515	96.166	38	30	9.156
442	liber2	4479	16.245	21	12	9.155
443	supra2	3902	14.152	20	14	9.143
444	12	2009	7.286	16	14	9.135
445	fero	7669	27.814	25	19	9.134
446	quidem	13370	48.491	30	27	9.121
447	quasi	19683	71.387	34	26	9.105
448	aliquot	502	1.821	10	8	9.101
449	sedeo	5409	19.618	22	15	9.084
450	solus1	8953	32.471	26	24	9.08
451	audio	20164	73.132	34	28	9.07
452	bellum	3563	12.923	19	15	9.052
453	quoniam	16008	58.059	31	24	9.003
454	arrianus	538	1.951	10	5	9.001
455	astipulor	68	0.247	5	4	8.985
456	prefixus	279	1.012	8	7	8.983
457	denique	3179	11.53	18	17	8.982
458	euidenter	948	3.438	12	10	8.973
459	decerpo	123	0.446	6	6	8.919
460	paulus	8919	32.348	25	20	8.916
461	iudeus	14110	51.175	29	24	8.897
462	significo	10220	37.066	26	21	8.889
463	euangelicus	1607	5.828	14	12	8.879
464	16	1018	3.692	12	8	8.87
465	disco	4055	14.707	19	19	8.865
466	quando	13356	48.44	28	22	8.824
467	dissero2	448	1.625	9	7	8.809
468	clausula	78	0.283	5	5	8.787
469	iustitia	11209	40.653	26	19	8.756
470	eruditus1	644	2.336	10	9	8.742
471	corpus	25509	92.517	34	24	8.731
472	decem	3204	11.62	17	17	8.724
473	debeo	23501	85.235	33	25	8.72
474	assero1	2209	8.012	15	15	8.719
475	propter	17688	64.152	30	23	8.717
476	apertus	1441	5.226	13	11	8.716
477	amen	3393	12.306	17	17	8.641
478	miracula	1918	6.956	14	9	8.624
479	29	358	1.298	8	7	8.623
480	proprius1	13802	50.058	27	24	8.619
481	centum	1544	5.6	13	11	8.616
482	nunc	13926	50.508	27	22	8.606
483	sufficienter	369	1.338	8	8	8.58
484	responsio	969	3.514	11	4	8.565
485	terminus	2478	8.987	15	11	8.553
486	an	4310	15.632	18	12	8.543
487	ne2	26592	96.445	33	28	8.542
488	scilicet	11586	42.021	25	21	8.539
489	plerique	748	2.713	10	9	8.526
490	peritus	383	1.389	8	8	8.526
491	diuisio	1294	4.693	12	7	8.524
492	nouem	997	3.616	11	9	8.524
493	nomino	3089	11.203	16	15	8.514
494	tum	16556	60.046	28	23	8.514
495	anima	20451	74.173	30	24	8.508
496	quot	1014	3.678	11	11	8.5
497	uocatus	768	2.785	10	7	8.488
498	affero	2110	7.653	14	8	8.486
499	supradictus	1329	4.82	12	11	8.486
500	folium	564	2.046	9	8	8.477
501	comprehendo	2619	9.499	15	14	8.473
502	laudo	4595	16.665	18	16	8.451
503	aris	100	0.363	5	5	8.429
504	plaga1	1777	6.445	13	13	8.413
505	mysticus	2232	8.095	14	11	8.405
506	precipuus	2237	8.113	14	13	8.402
507	adnoto	420	1.523	8	8	8.393
508	manicheius	282	1.023	7	6	8.39
509	talis	14475	52.499	26	24	8.387
510	25	423	1.534	8	4	8.383
511	probo	4948	17.946	18	18	8.344
512	argentum	1871	6.786	13	9	8.339
513	uterque	7941	28.801	21	17	8.329
514	ars	2369	8.592	14	13	8.319
515	celestis	9264	33.599	22	16	8.308
516	christiana	300	1.088	7	5	8.3
517	noto	2965	10.754	15	14	8.294
518	septuaginta	1934	7.014	13	8	8.291
519	frequenter	1528	5.542	12	11	8.285
520	sancta	2441	8.853	14	12	8.276
521	sensus	7122	25.83	20	19	8.275
522	canticum	1965	7.127	13	10	8.268
523	termino	660	2.394	9	5	8.251
524	desum	2510	9.103	14	12	8.236
525	scottus	314	1.139	7	3	8.235
526	cur	3774	13.688	16	14	8.225
527	constitutio	1241	4.501	11	9	8.208
528	illuster	681	2.47	9	9	8.205
529	perhibeo	1634	5.926	12	8	8.188
