No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	T-score value
1	in	463796	1682.119	5543	485	51.858
2	-	356744	1293.858	3292	399	34.825
3	de	136672	495.689	2086	342	34.82
4	scribo1	20693	75.05	692	214	23.453
5	idem2	43462	157.63	766	165	21.981
6	lego2	9617	34.879	422	175	18.845
7	primus	14793	53.652	435	177	18.284
8	secundus	7209	26.146	361	159	17.624
9	rex	31400	113.883	492	122	17.047
10	item	9686	35.13	341	57	16.564
11	:	232010	841.466	1404	243	15.013
12	.	894868	3245.554	4209	449	14.85
13	beatus	22102	80.161	360	120	14.749
14	tertius	7799	28.286	266	116	14.575
15	caput	17026	61.751	308	92	14.031
16	capitulum	3551	12.879	212	58	13.676
17	quinque	3634	13.18	201	76	13.248
18	ex	66613	241.596	544	184	12.965
19	numerus	8610	31.227	223	71	12.842
20	quartus	4056	14.711	182	86	12.4
21	historia	2949	10.696	170	82	12.218
22	incipio	3936	14.275	169	76	11.902
23	quattuor	5642	20.463	179	71	11.85
24	moralis	382	1.386	123	40	10.966
25	diuinus1	20429	74.093	244	122	10.877
26	genesis	802	2.909	124	76	10.874
27	decimus	1884	6.833	130	39	10.802
28	sanctus1	70547	255.864	486	141	10.439
29	1	3478	12.614	130	53	10.295
30	ecclesiasticus1	5501	19.951	143	77	10.29
31	euangelium	10708	38.836	174	77	10.247
32	quintus	2584	9.372	113	52	9.749
33	unus	37779	137.019	308	74	9.743
34	lex	23038	83.555	226	98	9.475
35	trinitas	4195	15.215	116	38	9.358
36	liber1	12354	44.806	162	39	9.208
37	septimus1	2325	8.432	96	50	8.937
38	sapientia	8726	31.648	131	78	8.68
39	iudex	5361	19.444	110	51	8.634
40	aperio	4103	14.881	101	46	8.569
41	contineo	4468	16.205	102	70	8.495
42	ambrosius	976	3.54	78	32	8.431
43	predestinatio	2248	8.153	84	26	8.276
44	deleo	1477	5.357	76	47	8.103
45	finis	10813	39.217	131	69	8.019
46	contra2	15581	56.51	154	54	7.856
47	prefatio	628	2.278	66	39	7.844
48	exodium	598	2.169	65	39	7.793
49	sicut	41928	152.067	281	119	7.692
50	dialogus	153	0.555	60	38	7.674
51	propheta	14538	52.727	145	69	7.663
52	uicesimus	821	2.978	63	23	7.562
53	uolumen	1144	4.149	64	36	7.481
54	conscribo	1267	4.595	62	48	7.29
55	narro	3019	10.95	73	34	7.262
56	prefatus1	3657	13.263	75	34	7.129
57	lectio	2600	9.43	68	36	7.103
58	lego1	1284	4.657	59	43	7.075
59	duo	16653	60.398	145	78	7.026
60	uetus	4403	15.969	78	49	7.024
61	testamentum	4862	17.634	80	44	6.973
62	ciuitas	12845	46.587	124	50	6.952
63	leuiticus	390	1.415	51	25	6.943
64	questio1	1633	5.923	59	26	6.91
65	uita	30381	110.187	210	131	6.888
66	edo2	1164	4.222	55	42	6.847
67	sexto	655	2.376	50	27	6.735
68	prosper	1612	5.847	56	16	6.702
69	prologus	259	0.939	46	26	6.644
70	prior	4247	15.403	70	27	6.526
71	inter	18369	66.622	145	70	6.509
72	expositio	1004	3.641	49	37	6.48
73	explicit	202	0.733	42	25	6.368
74	deuteronomium	394	1.429	43	26	6.34
75	2	4069	14.758	66	39	6.307
76	perseuerantia	551	1.998	43	8	6.253
77	actus	3384	12.273	61	36	6.239
78	compono	2568	9.314	56	40	6.239
79	4	3774	13.688	63	37	6.213
80	generatio	2678	9.713	56	29	6.185
81	tres	11031	40.008	102	61	6.138
