No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Z-score value
1	moralis	382	1.386	123	40	102.896
2	in	463796	1682.119	5543	485	94.124
3	dialogus	153	0.555	60	38	79.129
4	hypomnesticon	37	0.134	27	3	71.974
5	enchiridion	74	0.268	38	18	71.867
6	de	136672	495.689	2086	342	71.407
7	scribo1	20693	75.05	692	214	71.158
8	genesis	802	2.909	124	76	70.707
9	lego2	9617	34.879	422	175	65.464
10	secundus	7209	26.146	361	159	65.389
11	-	356744	1293.858	3292	399	55.536
12	capitulum	3551	12.879	212	58	55.346
13	primus	14793	53.652	435	177	51.995
14	quinque	3634	13.18	201	76	51.597
15	item	9686	35.13	341	57	51.522
16	historia	2949	10.696	170	82	48.558
17	idem2	43462	157.63	766	165	48.416
18	explicit	202	0.733	42	25	47.629
19	retractatio	136	0.493	34	14	46.997
20	decimus	1884	6.833	130	39	46.927
21	prologus	259	0.939	46	26	45.977
22	tertius	7799	28.286	266	116	44.602
23	apocryphicus	162	0.588	35	15	44.242
24	quartus	4056	14.711	182	86	43.487
25	exodium	598	2.169	65	39	42.324
26	prefatio	628	2.278	66	39	41.891
27	leuiticus	390	1.415	51	25	41.272
28	incipio	3936	14.275	169	76	40.819
29	ambrosius	976	3.54	78	32	39.31
30	fulgenter	85	0.308	22	14	38.167
31	moralia	87	0.316	21	10	35.933
32	rex	31400	113.883	492	122	35.385
33	quattuor	5642	20.463	179	71	34.936
34	uicesimus	821	2.978	63	23	34.494
35	deuteronomium	394	1.429	43	26	34.358
36	numerus	8610	31.227	223	71	34.228
37	quintus	2584	9.372	113	52	33.687
38	1	3478	12.614	130	53	32.91
39	caput	17026	61.751	308	92	31.273
40	beatus	22102	80.161	360	120	31.2
41	lasciuus2	12	0.044	7	6	30.949
42	areopagites	117	0.424	21	6	30.819
43	antiquitas	326	1.182	35	24	30.641
44	sexto	655	2.376	50	27	30.575
45	deleo	1477	5.357	76	47	30.306
