No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Log-likelihood value
1	in	463796	1682.119	5543	485	5740.71
2	de	136672	495.689	2086	342	2868.14
3	-	356744	1293.858	3292	399	2219.078
4	scribo1	20693	75.05	692	214	1864.376
5	lego2	9617	34.879	422	175	1347.831
6	secundus	7209	26.146	361	159	1243.053
7	idem2	43462	157.63	766	165	1218.869
8	primus	14793	53.652	435	177	1069.99
9	item	9686	35.13	341	57	949.401
10	moralis	382	1.386	123	40	904.378
11	capitulum	3551	12.879	212	58	801.337
12	quinque	3634	13.18	201	76	730.045
13	tertius	7799	28.286	266	116	724.97
14	genesis	802	2.909	124	76	708.009
15	rex	31400	113.883	492	122	690.19
16	historia	2949	10.696	170	82	630.961
17	quartus	4056	14.711	182	86	588.445
18	incipio	3936	14.275	169	76	532.384
19	decimus	1884	6.833	130	39	528.036
20	beatus	22102	80.161	360	120	526.446
21	caput	17026	61.751	308	92	501.824
22	numerus	8610	31.227	223	71	498.056
23	dialogus	153	0.555	60	38	470.123
24	quattuor	5642	20.463	179	71	464.204
25	1	3478	12.614	130	53	375.942
26	quintus	2584	9.372	113	52	359.785
27	ambrosius	976	3.54	78	32	339.459
28	enchiridion	74	0.268	38	18	324.819
29	prefatio	628	2.278	66	39	323.708
30	exodium	598	2.169	65	39	323.285
31	ecclesiasticus1	5501	19.951	143	77	320.183
32	:	232010	841.466	1404	243	318.161
33	septimus1	2325	8.432	96	50	295.317
34	ex	66613	241.596	544	184	280.928
35	prologus	259	0.939	46	26	276.263
36	.	894868	3245.554	4209	449	275.52
37	leuiticus	390	1.415	51	25	273.152
38	trinitas	4195	15.215	116	38	272.286
39	uicesimus	821	2.978	63	23	269.074
40	explicit	202	0.733	42	25	266.697
41	deleo	1477	5.357	76	47	265.385
42	hypomnesticon	37	0.134	27	3	260.346
43	euangelium	10708	38.836	174	77	253.535
44	diuinus1	20429	74.093	244	122	243.621
45	predestinatio	2248	8.153	84	26	242.826
46	uolumen	1144	4.149	64	36	233.753
47	retractatio	136	0.493	34	14	229.913
48	apocryphicus	162	0.588	35	15	225.219
49	aperio	4103	14.881	101	46	216.527
50	deuteronomium	394	1.429	43	26	214.211
51	sexto	655	2.376	50	27	213.022
52	conscribo	1267	4.595	62	48	210.549
53	contineo	4468	16.205	102	70	205.465
54	iudex	5361	19.444	110	51	201.794
55	lego1	1284	4.657	59	43	193.32
56	perseuerantia	551	1.998	43	8	185.082
57	liber1	12354	44.806	162	39	183.339
58	edo2	1164	4.222	55	42	183.115
59	sapientia	8726	31.648	131	78	174.747
