No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Log Ratio value
1	hypomnesticon	37	0.134	27	3	9.535
2	lasciuus2	12	0.044	7	6	8.587
3	enchiridion	74	0.268	38	18	8.18
4	dialogus	153	0.555	60	38	7.47
5	moralis	382	1.386	123	40	7.028
6	fulgenter	85	0.308	22	14	6.584
7	retractatio	136	0.493	34	14	6.517
8	moralia	87	0.316	21	10	6.45
9	diuinus2	40	0.145	9	8	6.318
10	apocryphicus	162	0.588	35	15	6.242
11	epigramma	42	0.152	9	3	6.227
12	explicit	202	0.733	42	25	6.172
13	hermes	55	0.2	11	9	6.102
14	philos	27	0.098	5	4	5.964
15	areopagites	117	0.424	21	6	5.909
16	prologus	259	0.939	46	26	5.891
17	historicus2	42	0.152	7	4	5.78
18	musaicus	122	0.443	20	11	5.751
19	missalis	62	0.225	10	8	5.723
20	genesis	802	2.909	124	76	5.651
21	illustris1	35	0.127	5	5	5.517
22	leuiticus	390	1.415	51	25	5.369
23	apologeticus	58	0.21	7	6	5.237
24	authenticus	145	0.526	17	15	5.189
25	sigale	94	0.341	11	8	5.186
26	fastus1	43	0.156	5	4	5.176
27	deuteronomium	394	1.429	43	26	5.073
28	exodium	598	2.169	65	39	5.066
29	appendix	129	0.468	14	3	5.064
30	antiquitas	326	1.182	35	24	5.046
31	prefatio	628	2.278	66	39	5.012
32	etymologia	154	0.559	16	13	4.993
33	flosculus	49	0.178	5	5	4.964
34	manuscriptum	80	0.29	8	6	4.932
35	computus	110	0.399	11	5	4.932
36	pentateuchum	50	0.181	5	4	4.932
37	excerptio	166	0.602	16	14	4.873
38	uaro2	52	0.189	5	5	4.869
39	commentarium	286	1.037	27	17	4.84
40	inscribo	321	1.164	30	24	4.824
41	titulo	129	0.468	12	8	4.816
42	pelagium	59	0.214	5	2	4.669
43	adulterinus	119	0.432	10	5	4.656
44	pleuio	72	0.261	6	5	4.642
45	ambrosius	976	3.54	78	32	4.577
46	perseuerantia	551	1.998	43	8	4.539
47	premium2	90	0.326	7	7	4.534
48	uicesimus	821	2.978	63	23	4.513
49	sexto	655	2.376	50	27	4.505
50	penitentialis	200	0.725	15	5	4.477
51	explanatio	217	0.787	16	11	4.451
52	astipulor	68	0.247	5	4	4.446
53	chronicus	141	0.511	10	8	4.39
54	decimus	1884	6.833	130	39	4.348
55	excerpo	167	0.606	11	9	4.276
56	clausula	78	0.283	5	5	4.234
57	lapsi	257	0.932	16	6	4.189
58	philosophicus	98	0.355	6	4	4.163
59	tripartitus	98	0.355	6	5	4.163
60	capitulare	182	0.66	11	5	4.143
