No.	Word	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts

1	,	2210261	8016.289	6686	591
2	in	463796	1682.119	5543	485
3	.	894868	3245.554	4209	449
4	et	725334	2630.679	2118	402
5	de	136672	495.689	2086	342
6	:	232010	841.466	1404	243
7	est	273513	991.991	810	252
8	qui	164490	596.581	587	210
9	ut	166832	605.075	583	170
10	Ex	62436	226.446	531	178
11	Augustinus	1868	6.775	446	72
12	Regum	2335	8.469	444	105
13	ad	177121	642.392	422	181
14	;	116352	421.992	398	151
15	quod	133459	484.036	397	142
16	Item	9688	35.137	341	57
17	eodem	7506	27.223	327	93
18	non	212441	770.492	301	157
19	sicut	40799	147.972	278	117
20	quem	20657	74.92	262	139
21	cum	118100	428.331	261	149
22	sunt	72096	261.482	259	116
23	Hoc	68485	248.385	253	118
24	scriptum	8276	30.016	242	85
25	que	105304	381.922	235	137
26	Primo	4829	17.514	228	89
27	idem	9197	33.356	218	50
28	legitur	3327	12.067	209	102
29	Caput	12364	44.842	203	65
30	quinque	3634	13.18	201	76
31	a	90890	329.645	199	128
32	si	77083	279.569	196	98
33	quia	98686	357.92	188	89
34	beatus	5441	19.734	188	68
35	Sed	101571	368.383	184	119
36	sancti	19414	70.412	183	83
37	sanctus	8553	31.021	181	40
38	-que	76595	277.799	179	109
39	quatuor	5393	19.56	176	69
40	enim	66589	241.508	174	97
41	ita	28529	103.471	170	87
42	secundo	2140	7.762	168	70
43	(	30251	109.716	167	72
44	legis	5802	21.043	165	75
45	per	98723	358.054	163	106
46	uite	11118	40.323	156	98
47	huius	11730	42.543	156	86
48	contra	16153	58.585	155	55
49	eius	58490	212.135	152	96
50	quo	34150	123.857	152	95
51	Primus	2727	9.89	150	110
52	dicit	25130	91.143	149	51
53	etiam	39496	143.246	148	95
54	inter	18369	66.622	145	70
55	Secundus	894	3.242	142	101
56	Iob	2983	10.819	140	76
57	autem	64914	235.434	140	78
58	Unde	25621	92.924	139	69
59	Paralipomenon	275	0.997	139	46
60	uel	61906	224.524	137	76
61	Augustini	834	3.025	136	49
62	Incipit	1805	6.547	133	66
63	I	4371	15.853	130	53
64	dicitur	19450	70.542	129	64
65	beati	6144	22.283	128	69
66	Numerorum	400	1.451	126	42
67	unum	11256	40.824	125	38
68	quos	13860	50.268	123	82
69	Moralium	151	0.548	122	32
70	quoque	16521	59.919	122	70
71	Dei	58503	212.182	122	63
72	Sapientie	2871	10.413	122	74
73	tertio	2234	8.102	119	52
74	Gregorius	2028	7.355	118	44
75	ab	47676	172.914	117	84
76	?	41969	152.215	116	60
77	Iesu	6492	23.546	113	54
78	Ciuitate	3102	11.251	112	43
79	Scripsit	1471	5.335	110	62
80	unus	6417	23.274	108	16
81	eiusdem	6579	23.861	108	62
82	quibus	25792	93.544	107	68
83	Trinitate	828	3.003	106	32
84	Iudicum	362	1.313	105	48
85	)	30262	109.756	101	71
86	Tertius	851	3.087	101	72
87	esse	42728	154.968	100	77
88	quarto	1121	4.066	96	47
89	ipse	28742	104.243	94	56
90	hic	18456	66.937	92	62
91	quam	46206	167.582	91	70
92	Hec	30798	111.7	91	68
93	sanctorum	10098	36.624	88	43
94	diuinis	2152	7.805	88	57
95	legimus	2198	7.972	88	51
96	cuius	15182	55.063	87	65
97	capite	2278	8.262	86	40
98	id	56272	204.09	86	50
99	homo	11409	41.379	85	30
100	Euangelii	2367	8.585	85	44
101	omnes	23853	86.511	85	62
102	sit	27786	100.776	84	63
103	hunc	6501	23.578	83	65
104	seruus	2666	9.669	83	56
105	scripta	2049	7.431	82	53
106	Moysi	1466	5.317	82	38
107	uero	35931	130.316	81	64
108	ubi	18833	68.305	81	62
109	decimo	893	3.239	77	28
110	capitulo	935	3.391	76	24
111	suis	18251	66.194	73	48
112	Nam	23565	85.467	73	45
113	secundum	20850	75.62	72	54
114	nec	41042	148.853	72	54
115	duos	2676	9.706	71	45
116	Euangeliorum	258	0.936	71	38
117	prophetarum	1727	6.264	70	42
118	atque	32045	116.223	70	47
119	Capitula	1125	4.08	69	22
120	Fide	7524	27.288	69	31
121	bono	2382	8.639	69	18
122	Predestinatione	739	2.68	68	16
123	siue	16962	61.519	68	43
124	Ait	17493	63.445	68	40
125	Machabeorum	128	0.464	67	40
126	Quartus	480	1.741	67	49
127	Ii	4832	17.525	66	39
128	ac	31966	115.936	66	53
129	apostolorum	5022	18.214	66	32
130	Historie	779	2.825	65	42
131	uerba	6519	23.643	64	45
132	Regnorum	283	1.026	64	35
133	ergo	29670	107.609	64	45
134	se	52290	189.648	64	47
135	eorum	25018	90.737	63	45
136	septimo	796	2.887	63	33
137	iam	20595	74.695	63	47
138	finem	4190	15.197	63	36
139	quinto	760	2.756	63	27
140	Iii	4170	15.124	63	36
141	Ambrosius	556	2.017	63	24
142	pro	43478	157.688	62	45
143	super	23580	85.521	62	42
144	Iu	3446	12.498	62	36
145	His	21236	77.02	62	46
146	aut	34719	125.921	61	36
147	Testamenti	1995	7.236	61	36
148	iste	6251	22.672	58	39
149	tres	4679	16.97	57	39
150	diuinorum	620	2.249	57	39
151	Hieronymus	979	3.551	57	36
152	eo	25904	93.95	57	46
153	liber	2348	8.516	55	27
154	Christi	23773	86.221	55	35
155	Neque	16128	58.494	54	38
156	Numeri	709	2.571	54	19
157	Dialogorum	62	0.225	54	33
158	Post	25587	92.8	53	40
159	Exodi	97	0.352	53	32
160	quorum	7967	28.895	53	39
161	suo	14496	52.575	53	36
162	sic	22224	80.603	53	45
163	Genesis	119	0.432	52	37
164	generationis	273	0.99	52	27
165	fine	3037	11.015	52	37
166	psalmorum	389	1.411	51	29
167	Hinc	7123	25.834	51	29
168	Sententiarum	219	0.794	51	22
169	operis	2291	8.309	51	33
170	sexto	654	2.372	50	27
171	Domini	26925	97.653	50	39
172	Ueteris	1396	5.063	50	31
173	Geneseos	94	0.341	49	38
174	usque	24146	87.574	49	39
175	appellatur	1475	5.35	49	16
176	apud	14014	50.827	48	32
177	quis	16434	59.604	48	35
178	scribit	1222	4.432	48	28
179	prefatio	349	1.266	47	27
180	librum	1166	4.229	47	7
181	Historia	1037	3.761	47	33
182	me	30698	111.337	47	37
183	sub	14326	51.958	47	32
184	tamen	22532	81.72	46	35
185	prefato	623	2.26	45	18
186	Gregorii	967	3.507	45	33
187	capitulorum	245	0.889	45	16
188	quid	25030	90.78	45	35
189	uno	4827	17.507	45	22
190	dicens	10689	38.767	44	31
191	Lectio	693	2.513	44	17
192	omnibus	22258	80.727	44	33
193	Decimus	281	1.019	43	12
194	Perseuerantie	141	0.511	43	8
195	omnia	23642	85.746	43	35
196	ipsius	9218	33.432	43	41
197	primum	6073	22.026	42	31
198	Explicit	203	0.736	42	25
199	septem	4445	16.121	42	24
200	iuxta	12151	44.07	42	28
201	Sancta	6735	24.427	41	29
202	Naue	245	0.889	41	25
203	prophete	2564	9.299	41	30
204	Questionum	131	0.475	41	16
205	Actuum	369	1.338	41	21
206	prologus	166	0.602	40	22
207	episcopus	9920	35.978	40	24
208	U	3578	12.977	40	23
209	Correptione	163	0.591	40	8
210	nobis	28243	102.433	40	31
211	nomen	8419	30.535	39	31
212	aperire	415	1.505	39	20
213	Esdre	68	0.247	39	20
214	mortuos	868	3.148	39	24
215	Isidorus	214	0.776	38	21
216	Ui	3736	13.55	38	21
217	Prosper	211	0.765	38	10
218	religione	744	2.698	38	21
219	tuo	4801	17.413	38	29
220	ille	15694	56.92	38	32
221	sequitur	6547	23.745	38	21
222	diuine	3890	14.109	37	28
223	duo	5406	19.607	37	24
224	narrat	873	3.166	37	20
225	Deuteronomii	125	0.453	37	21
226	Patrum	3751	13.604	37	27
227	tantum	10340	37.502	37	25
228	Uita	9843	35.699	37	32
229	Spiritu	7382	26.773	36	14
230	Quintus	315	1.143	36	24
231	igitur	11511	41.749	36	27
232	illud	13210	47.911	35	27
233	Dominus	28645	103.891	35	24
234	Deus	32414	117.561	35	27
235	continetur	1029	3.732	35	31
236	ipsum	11054	40.091	34	26
237	Salomonis	718	2.604	34	22
238	composuit	406	1.473	34	23
239	uigesimo	183	0.664	34	8
240	quasi	19683	71.387	34	26
241	eum	31346	113.687	34	29
242	edidit	364	1.32	34	28
243	ne	26706	96.859	33	28
244	Quomodo	10295	37.338	33	25
245	secundi	402	1.458	33	29
246	Ecclesie	21098	76.519	33	26
247	aduersus	3779	13.706	33	25
248	plenius	809	2.934	33	20
249	uiuentium	611	2.216	33	26
250	multa	5868	21.282	33	26
251	uiginti	2038	7.392	32	18
252	S	7161	25.972	32	28
253	doctrina	2780	10.083	32	25
254	tam	10045	36.432	32	26
255	Enchiridion	64	0.232	32	18
256	sui	12941	46.935	32	26
257	Isaie	347	1.259	32	22
258	primi	1411	5.118	32	23
259	doctor	1222	4.432	31	19
260	Quoniam	16008	58.059	31	24
261	illius	10243	37.15	31	19
262	uidelicet	10383	37.658	31	22
263	aliis	7744	28.086	31	26
264	quippe	7694	27.905	31	21
265	Incipiunt	434	1.574	31	13
266	propter	17688	64.152	30	23
267	suos	6301	22.853	30	26
268	nomine	11537	41.843	30	26
269	Similiter	5768	20.92	30	25
270	demonstrat	1149	4.167	30	23
271	quidem	13370	48.491	30	27
272	hac	9255	33.567	30	24
273	testatur	1634	5.926	30	25
274	plures	1802	6.536	30	15
275	nos	28959	105.03	29	23
276	istius	1309	4.748	29	20
277	Leuitici	54	0.196	29	18
278	dixit	12295	44.592	29	17
279	octauo	691	2.506	29	21
280	uerbis	5501	19.951	29	25
281	memorato	322	1.168	29	10
282	Supra	6866	24.902	29	21
283	legat	291	1.055	29	22
284	itaque	8518	30.894	29	23
285	quando	13356	48.44	28	22
286	prophetie	571	2.071	28	16
287	Christiana	515	1.868	28	23
288	libro	4565	16.557	28	12
289	epistolarum	192	0.696	28	17
290	Noui	1776	6.441	28	23
291	solum	10659	38.659	28	26
292	Beda	1157	4.196	28	9
293	uera	3401	12.335	28	16
294	sermone	2172	7.878	28	21
295	legere	496	1.799	28	25
296	ostendit	5482	19.882	28	23
297	dierum	1410	5.114	28	14
298	Sacramentorum	361	1.309	28	20
299	Uii	2452	8.893	28	15
300	nomina	1928	6.993	28	27
301	Sextus	258	0.936	27	21
302	suum	13040	47.294	27	20
303	illo	8616	31.249	27	24
304	Danielis	148	0.537	27	21
305	ea	16639	60.347	27	25
306	Retractationum	31	0.112	27	13
307	sibi	21952	79.617	27	24
308	tertii	190	0.689	27	17
309	hos	2454	8.9	27	21
310	fuit	11793	42.772	27	22
311	cui	11424	41.433	27	25
312	loco	10297	37.346	27	20
313	ei	16962	61.519	27	24
314	Septimus	340	1.233	27	19
315	X	2211	8.019	27	16
316	nunc	13926	50.508	27	22
317	Esther	150	0.544	27	19
318	nisi	22042	79.943	26	24
319	Hypomnesticon	34	0.123	26	2
320	ecclesiastico	562	2.038	26	11
321	te	23799	86.315	26	24
322	historiam	817	2.963	26	14
323	ecclesiastice	674	2.445	26	17
